replicate,absorbance,sample_processed_date
05SO1,0.944,2017-01-10
05SO2,1.177,2017-01-10
05SO3,1.26,2017-01-10
05SO4,0.75,2017-01-10
05SO5,1.229,2017-01-10
08SO1,1.204,2017-01-10
08SO2,0.686,2017-01-10
08SO3,0.996,2017-01-10
08SO4,1.213,2017-01-10
08SO5,0.78,2017-01-10
16SO1,1.175,2017-01-10
16SO2,1.3,2017-01-10
16SO3,0.893,2017-01-10
16SO4,0.855,2017-01-10
16SO5,1.011,2017-01-10
32SO1,1.073,2017-01-10
32SO2,0.948,2017-01-10
32SO3,0.97,2017-01-10
32SO4,1.141,2017-01-10
32SO5,0.98,2017-01-10
25SO1,1.541,2017-01-10
25SO2,1.413,2017-01-10
25SO3,1.406,2017-01-10
25SO4,1.367,2017-01-10
25SO5,1.627,2017-01-10
38SO1,1.635,2017-01-10
38SO2,1.662,2017-01-10
38SO3,1.502,2017-01-10
38SO4,1.51,2017-01-10
38SO5,1.592,2017-01-10
standard_50uM,0.141,2017-01-10
standard_200uM,0.662,2017-01-10
standard_500uM,1.376,2017-01-10
standard_COMBO,1.576,2017-01-10