sample,absorbance,time mixed reagent in,time measured,absorbance2,absorbance3,absorbance4,
standard_blank,,12:34,12:42,-0.001,,,
standard_0.3,0.003,12:34,12:42,0.003,,,
standard_0.6,0.017,12:34,12:42,0.013,,,
standard_1.5,0.037,12:34,12:42,0.034,,,
standard_3,0.074,12:34,12:42,0.071,,,
standard_6,0.17,12:34,12:42,0.166,,,
standard_60,0.149,12:34,12:42,0.174,,,
05so1,0.01,1:05,1:09,0.012,0.011,0.022,
08so1,0.009,1:05,1:09,0.01,0.009,0.022,
16so1,0.003,1:05,1:09,0.004,0.004,0.016,
25so1,0.01,1:05,1:09,0.011,0.01,0.022,
32so1,0.055,1:05,1:09,0.054,0.052,0.055,
38so1,0.066,1:05,1:09,0.065,0.064,0.074,
05so2,0.015,2:53,3:26,0.016,,,3:32
08so2,0.012,2:53,3:26,0.013,,,3:32
16so2,0.02,2:53,3:26,0.02,,,3:32
25so2,0.006,2:53,3:26,0.006,,,3:32
32so2,0.011,2:53,3:26,0.013,,,3:32
38so2,0.029,2:53,3:26,0.029,,,3:32
05so3,0.011,2:55,3:33,0.01,,,
08so3,0.011,2:55,3:33,0.01,,,
16so3,0.013,2:55,3:33,0.013,,,
25so3,0.011,2:55,3:33,0.011,,,
32so3,0.022,2:55,3:33,0.02,,,
38so3,0.041,2:55,3:33,0.042,,,
05so4,0.009,2:58,3:40,0.009,,,
08so4,0.017,2:58,3:40,0.017,,,
16so4,0.017,2:58,3:40,0.012,,,
25so4,0.012,2:58,3:40,0.011,,,
32so4,0.012,2:58,3:40,0.013,,,
38so4,0.037,2:58,3:40,0.037,,,
05so5,0.01,3:02,3:49,0.009,,,3:57
08so5,0.017,3:02,3:49,0.019,,,
16so5,0.013,3:02,3:49,0.013,,,
25so5,0.043,3:02,3:49,0.043,,,
32so5,0.019,3:02,3:49,0.02,,,
38so5,0.034,3:02,3:49,0.034,,,
32so1,0.071,3:02,3:49,0.07,,,
standard_0.3,0.011,4:12,4:42,0.013,0.012,,
standard_0.6,0.022,4:12,4:42,0.024,0.023,,
standard_1.5,0.049,4:12,4:42,0.05,0.046,,
standard_3,0.09,4:12,4:42,0.094,0.094,,
standard_blank,0.07,4:12,4:42,0,0.002,,
combo,0.021,4:12,4:42,0.023,0.022,,